Name,TotalApps,TotalAdmit,TotalEnroll,SATPercent,ACTPercent,SAT25,SAT75,ACT25,ACT75,AssocDegree,PercentAdmit,Tuition14,InStateTuition14,OutofStateTuition14,State,Region,Type,Location,UnderGradEnroll,FTUnderGradEnroll,PTUnderGradEnroll,BlackPercent,LatinPercent,WomenPercent,4yrGradRate,5yrGradRate,6yrGradRate,FinAidPercent,AnyFinAidPercent,FedGrantPercent,PellGrantPercent
Abilene Christian University,10188,4986,1030,50,50,470,580,21,27,3,49,28350,41800,41800,Texas,Southwest,Private,Midsize City,3727,3510,217,7,12,57,37,54,57,99,99,24,23
Adams State University,2658,1398,519,16,90,440,533,17,22,101,53,7449,19691,30323,Colorado,Rocky Mountains,Public,Remote Town,2284,1873,411,7,31,50,12,21,25,92,88,51,51
Adelphi University,8654,5897,918,74,18,500,600,19,24,14,68,30800,47110,47110,New York,Mid East,Private,Large Suburb,5040,4531,509,11,13,69,53,61,63,96,95,32,32
Adrian College,4675,2631,496,2,85,400,530,19,24,2,56,30758,42740,42740,Michigan,Great Lakes,Private,Distant Town,1649,1582,67,10,2,49,39,53,54,98,98,50,50
Alabama A & M University,6142,5521,1104,15,88,370,450,15,19,0,90,7182,21849,27441,Alabama,Southeast,Public,Midsize City,4051,3799,252,95,1,51,10,23,29,97,89,81,81
Alabama State University,10245,5251,1479,18,87,380,480,15,19,0,51,8720,18286,25222,Alabama,Southeast,Public,Midsize City,5356,4872,484,93,1,59,9,19,25,93,87,76,76
Alaska Pacific University,494,185,33,74,26,465,575,20,24,6,37,29810,43180,43180,Alaska,Far West,Private,Large City,387,245,142,3,3,66,25,33,40,100,100,42,42
Albany State University,8250,1643,501,70,56,420,480,17,20,0,20,6024,19590,31792,Georgia,Southeast,Public,Small City,3660,3019,641,90,1,66,16,35,42,99,91,82,81
Albion College,4430,2498,346,5,97,520,580,22,28,0,56,36051,48195,48195,Michigan,Great Lakes,Private,Fringe Town,1307,1272,35,3,3,49,64,73,74,99,99,24,24
Albright College,6060,3776,655,64,11,460,560,20,25,0,62,36660,49160,49160,Pennsylvania,Mid East,Private,Small City,2349,2315,34,16,9,58,48,53,54,99,99,50,50
Alcorn State University,2265,1878,575,5,95,400,460,16,19,13,83,6108,20984,20984,Mississippi,Southeast,Public,Remote Rural,3157,2732,425,93,1,65,18,28,34,77,74,67,67
Alderson Broaddus University,4892,2114,438,42,58,420,520,19,24,4,43,22740,33296,33296,West Virginia,Southeast,Private,Distant Town,1052,995,57,16,4,48,35,42,45,100,100,52,51
Alfred University,3417,2385,535,92,30,490,590,22,27,0,70,25430,39948,39948,New York,Mid East,Private,Remote Town,1960,1909,51,8,7,51,45,61,62,100,100,40,40
Alice Lloyd College,3656,1646,189,2,98,470,500,18,24,0,45,10620,21800,21800,Kentucky,Southeast,Private,Remote Rural,631,606,25,1,1,54,21,31,32,100,100,65,65
